A,B,C,leak_position
0.141768512130317,0.4862259719071035,0.03559160594869759,224.7240713084175
0.026890325150959044,0.11577605734064242,0.7901509930328493,570.4285838459497
0.020133426162751378,0.2879150620940577,0.2721436235807262,439.19636508684306
0.0334365053708703,0.6542946216606974,0.14584069297884136,359.19509051822195
0.44675032279075805,0.1668551331025999,0.01284113038265695,93.61118426546192
0.45362853259096864,0.20139791737786109,0.01842656518714874,93.59671220172159
0.7333181784837666,0.14755533335179757,0.009994709544744186,34.85016730091968
0.028532749075599245,0.14810781896205424,0.5194217653814975,519.7056874649611
0.055732474648327264,0.5653656382120537,0.17639739470705265,360.6690070459253
0.05481568959409856,0.34538253409689584,0.21027517119881314,424.8435466776273
0.9091481490388493,0.0927174156902326,0.014581756299866269,12.350696577481468
0.011663454825012194,0.10553697830993147,0.8892662230168341,581.9459112971966
0.02693511750975139,0.1687255191044656,0.45991830203976086,499.465584480253
0.37868116500743476,0.30037095780163786,-0.0029886624612828656,127.40346640696569
0.4077342931863909,0.16210524739536203,0.027787573520681043,109.09498032426038
0.3887433741646744,0.24383164549536296,0.0013648999761512008,110.04270591206028
0.18466347948389455,0.36634068180363555,-0.008665007392471988,182.54534577572264
0.08755002003222617,0.8422706380084775,0.0934704328464543,314.8538589793427
0.07380059265787761,0.7051687230707503,0.09127716967586226,259.1670111852695
0.24034606782759446,0.33482511185340386,0.028277646494457586,174.73748411882514
0.047282532484198884,0.5810819646549421,0.11626112332727309,367.1117368334277
0.5096949475918652,0.11079326310802974,0.0009365734696556143,83.6963163912251
0.22230289542033826,0.36637694445508373,0.029486935402030453,175.28678912113088
0.13201234620920294,0.4929353448401656,0.04605326048136899,219.81710597621503
0.1006670747389882,0.7912171831562681,0.05628113363519811,273.64199053022156
0.033648135183715525,0.22994310378660276,0.33983633869395596,471.10557683580817
0.4118787067484388,0.19429285886673936,-0.018751065832993803,119.80426929501584
0.09211767692130435,0.9177286543603679,0.08177533861082092,308.54066304816695
0.03608848831034501,0.6247804452552917,0.1622692819330856,355.4487413172255
0.8087888448128275,0.12078957810668756,-0.019825041078918863,27.870247631998634
0.02492079852047121,0.5272943731497715,0.12435061176312431,364.52691114086304
0.44543037061068597,0.2028927885083316,0.01137551792578622,102.31447421237492
0.7218949852906592,0.09985975351865914,0.013423108754484207,39.03095579116771
0.02401760532308095,0.07367044576265262,0.7804660832488913,569.3313223519999
0.02664992608887156,0.08917291416851315,0.8561280521192695,579.3792198447356
0.07385563439931932,0.21186874874881206,0.3915204919767043,485.03840886987666
0.20328058105000085,0.38008966313242487,0.04010753194617394,182.7682615040224
0.6175284227971329,0.11337528319036448,0.01510767916947616,58.60326840383032
0.06191826158578091,0.4070276992604692,0.2254549701433517,410.53981590729416
0.10597846722218524,0.7563812915696059,0.06644180283954129,264.0914962437608
0.5242287897285056,0.15747111272898562,-0.007430833121955579,73.2229409068673
0.07143097125586328,0.9799595707677204,0.08607404520867608,297.1061460667621
0.8182428501633606,0.11856465347623024,0.01944217657190575,20.633112669131037
-0.0034913960023127515,0.09842139157372913,0.6325670831760389,545.5922412472693
0.26528046870028643,0.30162530116071334,0.01731083652236879,155.26798896001014
-0.0037281981891119156,0.43593093095879193,0.17888962978921324,397.51337061238917
0.22311307774828543,0.37609994066683416,0.06559189096612991,187.02664565364657
0.03601551061514723,0.9307530797837532,0.0862624328293662,312.0408127066865
0.08217977834386916,0.7933129327265622,0.1264708456208934,328.02616760596777
0.3890728495919423,0.1848845549504824,0.0453899393058899,110.91267331531623
0.005575039979964945,0.09999860602140585,0.8836172987087867,581.7507766587352
0.00010145430308966183,0.2645815544780973,0.3130702509986559,465.0796940166687
0.006474704882451779,0.1125266799740445,0.7089601402867981,563.6993649385134
-0.00417668190180101,0.16590260721443453,0.6087687495843046,536.8964102565893
0.049059800512732225,0.6177953180797365,0.1280368327762582,358.73998728665106
0.03708974594339537,0.11730717630275574,0.6812680999631217,553.12454101387
0.6653730287741563,0.11222078366147503,0.0416636373076396,53.0955012311517
